Id	species 	individual	jaw type	tooth position	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
Cb024L13	Cb	024	L	13	0.3873208003057187	0.13129881851804842	0.38104854199972077	0.04490870346694655	0.36901938158839276	0.0058727027217544275	-0.027271032967761843	-0.36036033977133963	-0.3369871215194883	-0.03364525605662538	-0.35640600976220405	0.023477187246936378	-0.2693457741648599	0.1339224805548345	-0.1507965036883254	0.1384569810570043	0.006638576135801072	0.14740329175714534	-0.0012830786867917736	0.05431112042587261	-3.2568951444613683E-4	-0.024604999119219494	-0.011860602778433326	-0.07081725572629234	0.11241187901150218	-0.08879497522766684	-0.10216336595882333	-0.10142845984739723
Cb024L14	Cb	024	L	14	0.38681233071581034	0.13607047507252773	0.3831433301422868	0.04762426946369363	0.38646738804801745	-0.005865891518872124	-0.028880642247472513	-0.32530805620612774	-0.35289942505283706	-0.02897761729019708	-0.3769012149764219	0.026116423376340694	-0.30247441366711647	0.11103015198661172	-0.12774996532299435	0.13283695307625448	0.03002304590666532	0.13919727077690844	0.01592621964397469	0.0443038783937388	-0.0049344064134808265	-0.025566636018217532	-0.007082845820334948	-0.061290814802981194	0.0971653707796305	-0.10069623583935208	-0.09861477173572532	-0.08947417047032465
Cb024L15	Cb	024	L	15	0.42602988912102446	0.14096769745346122	0.3983952718081013	0.05476818156451072	0.3855916590066531	-0.008650238232853692	-0.05633558798813607	-0.2800982309823182	-0.34349222375955696	-0.026413523045384576	-0.3759704519385141	0.008436744859871934	-0.28320097806994776	0.11496020200876499	-0.15609340065795094	0.12263295396106658	0.011407719922442824	0.13046845947909405	0.0011596953785152249	0.0560419685158903	-0.00909517353489753	-0.038726612130059894	-0.019190007041449863	-0.08158419400210516	0.1278255857996236	-0.09175599556764914	-0.10703199804590588	-0.10104741388229273
Cb024L02	Cb	024	L	02	0.3340120813782043	0.16838162159299003	0.3855344713857589	0.011385393103862836	0.3185317362617319	-0.036955713312439034	-0.019710703011449608	-0.42217574410784886	-0.3120954056464102	-0.050694890979339706	-0.34138644248305644	0.0014490419917578823	-0.2972864211560102	0.14843806718864272	-0.11671209076166866	0.16234398800102845	0.021780784392239412	0.16062107916648855	9.907123757358412E-4	0.09340420501207021	0.0033531966911720815	-0.010440094733127157	-0.0040135176790294935	-0.07850193219934158	0.1357145127906776	-0.06633698236867053	-0.10871291453789303	-0.08091803835607202
Cb024L03	Cb	024	L	03	0.31119232599826374	0.16514401534871206	0.36676105691898403	0.0594326443577146	0.3458178516568069	0.0055243306027094735	-0.019368093288190336	-0.4742176426357082	-0.32727349909531134	-0.018944176066643573	-0.344097833800195	0.024869652173121475	-0.2240688607806029	0.15889092509139494	-0.12704447545290853	0.14231991053128382	0.012396117528868399	0.13588108612046376	0.003253960489721241	0.0633009803131451	-4.541203341923896E-4	-0.021609093059807793	-0.003369112139000565	-0.08795254277209252	0.12476091041706232	-0.07559835136483496	-0.11850622811930676	-0.07704173863945823
Cb024L04	Cb	024	L	04	0.32792661603987044	0.16958900900814503	0.36114616618107825	0.05904542968820005	0.34275902569050337	0.0012917956636438604	-0.010217622501586601	-0.4452379397091888	-0.3057386227529028	-0.007074321568216704	-0.328318544043535	0.05134576068901322	-0.2803686099788956	0.1608935002316758	-0.13582291415497144	0.14719163245172653	0.02034207806705001	0.13336758471236768	0.007649199787751562	0.04668030992368716	-0.010619545552492792	-0.028539489600252564	-0.011350202767226857	-0.0806707021930222	0.12167602561573958	-0.09969964533823907	-0.09906304963038158	-0.10818292395954121
Cb024L05	Cb	024	L	05	0.31698697586460894	0.17740211291828892	0.36910305123856285	0.0623782160157938	0.32524533231072955	-0.004290141121882557	-0.028068201811744256	-0.4665374760424998	-0.3080290448018631	-0.021930125730032973	-0.33473092924470277	0.04164650445626352	-0.25836100338589735	0.1627774268861412	-0.12823767334818464	0.14523156579697633	0.012845079447582317	0.1456429923177774	0.005827505059589205	0.04564792606998436	-0.0019945640410156344	-0.03710469021514931	-0.011164134860772413	-0.09040521591862415	0.1408130159540845	-0.07757189347397606	-0.10023540838097665	-0.08288720195905999
Cb024L06	Cb	024	L	06	0.34663489267791464	0.1612223606820923	0.35410667206901186	0.0508468354883495	0.3278863625939104	0.0022787511277135297	-0.01422179893503911	-0.46237411171956105	-0.2611053619345455	-9.202434969272297E-4	-0.3338421728914382	0.047206731114582436	-0.2996616018614387	0.1546064204677421	-0.16570248079446112	0.15709143891039573	0.01045545753277162	0.13356303172418008	0.010639172043491714	0.04039123057834323	0.004724053919083315	-0.04754419422180602	-0.0034202106648871175	-0.10056218144467946	0.1287285650861846	-0.06905152608526421	-0.10522154884055927	-0.06675454312516176
Cb024L09	Cb	024	L	09	0.3149053058779114	0.15268885196320076	0.3686665486725124	0.04447103315779519	0.3570202992024057	-0.0026258856797911553	-0.006308872928963108	-0.4185218324738238	-0.3374016284567724	0.008381129258874721	-0.3582052050056602	0.04135381183897993	-0.2923635965339058	0.1484553122413401	-0.12532281884069454	0.14157589067854925	0.02308909914283575	0.12499924265394823	0.013298288551878404	0.036049028628051455	0.01651663741736874	-0.042640548273612994	0.005437556451715668	-0.08954891901831405	0.12248001645443989	-0.06678002374617689	-0.10181163000507075	-0.07785709122902004
Cb024U01	Cb	024	U	01	0.2810191512446598	0.17797808819475455	0.3624681634152934	0.06060848253973683	0.33584645093434806	-0.01668684777240592	-0.01094801150010137	-0.4902658919286628	-0.2652606269075513	-0.017697977192803777	-0.3135299123931098	0.033470254386057816	-0.26106490542002864	0.19542283594606946	-0.1453440550752679	0.17098028311689545	-0.0077538184612111725	0.16271333869868052	0.006317146647788031	0.034813330518714526	0.010579030903423891	-0.04881415613101065	0.005813226318605395	-0.10231881833161845	0.134190244359895	-0.08071952584599826	-0.13233208406674507	-0.07948339619840894
Cb024U10	Cb	024	U	10	0.31187072185607084	0.1443419250362801	0.34733221815164567	0.029377686932659557	0.2789821725502642	-0.02891995423573289	0.1138564026882138	-0.45069043331938846	-0.28661069614294293	7.129199686044044E-4	-0.36189591485282513	0.09215196892331393	-0.3051636385984146	0.20801017970164304	-0.12095469269458747	0.15792868874236374	0.012067001308234217	0.13023790140710712	0.007119202627282684	0.032399694008403555	0.0019482658154714055	-0.03712087308697811	-0.0033083488501341202	-0.09473903947430123	0.1349785482969132	-0.08793628705297171	-0.13022124215519235	-0.09575437755100438
